,area name,solar power area,wind powe area
0,Middlesbrough,253082.3505265778,103709.77446959254
1,Redcar and Cleveland,17922826.64415593,6930547.804970894
2,Stockton-on-Tees,16683487.535885805,7097500.851997168
3,Darlington,24278036.975614667,13682908.681108303
4,Halton,821709.5681181067,497707.7546453738
5,Warrington,4576209.666147748,2110969.0016256897
