ADM2_NAME
Avon
Bedfordshire
Berkshire
Buckinghamshire
Cambridgeshire
Cheshire
Cleveland
Cornwall
Cumbria
Derbyshire
Devonshire
Dorsetshire
Durham
East Sussex
Essex
Gloucestershire
Greater London
Greater Manchest
Hampshire
Hereford and Wor
Hertfordshire
Humberside
Isle of Wight
Kent
Lancashire
Leicestershire
Lincolnshire
Merseyside
Norfolkshire
North Yorkshire
Northamptonshire
Northumberland
Nottinghamshire
Oxfordshire
Salop
Somersetshire
South Yorkshire
Staffordshire
Suffolk
Surrey
Tyne and Wear
Warwickshire
West Midlands
West Sussex
West Yorkshire
Wiltshire
Administrative unit not available
Antrim
Ards
Armagh
Ballymena
Ballymoney
Banbridge
Belfast
Carrickfergus
Castlereagh
Coleraine
Cookstown
Craigavon
Down
Dungannon
Fermanagh
Larne
Limavady
Lisburn
Londonderry
Magherafelt
Moyle
Newry and Mourne
Newtownabbey
North Down
Omagh
Strabane
Borders
Central
Dumfries and Gal
Fyfe
Grampian
Highland
[-5.919835667846662
Lothian
Orkney
58.91585926859101]
Shetland Islands
60.48864222889083]
Strathclyde
56.622244896892674]
Tayside
Western Isles
[-7.51067788055904
Clwyd
Dyfed
Gwent
Gwynedd
Mid Glamorgan
Powys
South Glamorgan
West Glamorgan
